timestamp,value
2025-09-01T10:00:03,4.949
2025-09-01T10:00:06,5.160
2025-09-01T10:00:09,4.817
2025-09-01T10:00:12,4.724
2025-09-01T10:00:15,5.044
2025-09-01T10:00:18,5.098
2025-09-01T10:00:21,4.893
2025-09-01T10:00:24,4.987
2025-09-01T10:00:27,5.258
2025-09-01T10:00:30,5.250
2025-09-01T10:00:33,4.820
2025-09-01T10:00:36,5.034
2025-09-01T10:00:39,5.066
2025-09-01T10:00:42,5.173
2025-09-01T10:00:45,4.725
2025-09-01T10:00:48,4.880
2025-09-01T10:00:51,5.095
2025-09-01T10:00:54,5.299
,5.213
2025-09-01T10:01:00,4.983
2025-09-01T10:01:03,5.200
2025-09-01T10:01:06,5.109
2025-09-01T10:01:12,5.191
2025-09-01T10:01:15,4.992
2025-09-01T10:01:18,4.885
2025-09-01T10:01:21,5.031
2025-09-01T10:01:24,5.121
2025-09-01T10:01:27,5.124
2025-09-01T10:01:30,5.103
2025-09-01T10:01:33,4.748
2025-09-01T10:01:36,5.061
2025-09-01T10:01:39,4.898
2025-09-01T10:01:42,4.899
2025-09-01T10:01:45,5.125
2025-09-01T10:01:48,5.023
,5.031
,5.234
2025-09-01T10:01:57,5.001
2025-09-01T10:02:00,4.727
,4.992
2025-09-01T10:02:06,4.870
2025-09-01T10:02:09,4.939
2025-09-01T10:02:12,4.777
2025-09-01T10:02:15,5.208
2025-09-01T10:02:21,4.874
2025-09-01T10:02:24,4.804
2025-09-01T10:02:27,5.299
2025-09-01T10:02:30,5.076
2025-09-01T10:02:33,5.005
2025-09-01T10:02:36,4.956
2025-09-01T10:02:39,4.891
2025-09-01T10:02:42,4.790
2025-09-01T10:02:45,5.012
2025-09-01T10:02:48,5.109
,4.816
2025-09-01T10:02:54,5.165
2025-09-01T10:02:57,5.023
2025-09-01T10:03:00,4.871
2025-09-01T10:03:03,5.284
2025-09-01T10:03:06,5.125
2025-09-01T10:03:09,4.728
2025-09-01T10:03:12,5.023
2025-09-01T10:03:15,5.063
2025-09-01T10:03:18,5.011
2025-09-01T10:03:21,4.910
2025-09-01T10:03:24,4.821
2025-09-01T10:03:30,4.970
2025-09-01T10:03:33,5.299
2025-09-01T10:03:36,5.097
2025-09-01T10:03:39,4.936
2025-09-01T10:03:42,5.005
2025-09-01T10:03:45,5.064
,5.026
2025-09-01T10:03:51,4.755
2025-09-01T10:03:54,4.835
2025-09-01T10:03:57,5.044
2025-09-01T10:04:00,4.786
2025-09-01T10:04:03,4.818
,4.715
2025-09-01T10:04:09,5.282
2025-09-01T10:04:12,4.803
2025-09-01T10:04:15,4.893
2025-09-01T10:04:18,5.040
2025-09-01T10:04:21,4.899
2025-09-01T10:04:24,4.989
2025-09-01T10:04:27,4.949
2025-09-01T10:04:30,4.702
2025-09-01T10:04:33,4.878
2025-09-01T10:04:39,5.197
2025-09-01T10:04:42,4.704
,4.928
2025-09-01T10:04:48,5.156
2025-09-01T10:04:51,4.747
2025-09-01T10:04:54,5.297
2025-09-01T10:04:57,5.067
2025-09-01T10:05:00,4.914
2025-09-01T10:05:03,5.185
2025-09-01T10:05:06,5.177
2025-09-01T10:05:09,5.094
2025-09-01T10:05:12,4.724
2025-09-01T10:05:15,5.273
2025-09-01T10:05:18,4.911
2025-09-01T10:05:21,4.901
2025-09-01T10:05:24,4.880
2025-09-01T10:05:27,4.733
2025-09-01T10:05:30,4.898
2025-09-01T10:05:33,4.938
2025-09-01T10:05:36,4.984
2025-09-01T10:05:39,5.256
,4.986
2025-09-01T10:05:48,4.858
2025-09-01T10:05:51,5.109
2025-09-01T10:05:54,5.114
2025-09-01T10:05:57,5.090
2025-09-01T10:06:00,5.290
2025-09-01T10:06:03,5.242
2025-09-01T10:06:06,5.019
,4.840
2025-09-01T10:06:12,5.161
2025-09-01T10:06:15,5.290
2025-09-01T10:06:18,4.937
2025-09-01T10:06:21,4.855
2025-09-01T10:06:24,4.738
2025-09-01T10:06:27,5.197
2025-09-01T10:06:30,4.748
2025-09-01T10:06:33,4.900
2025-09-01T10:06:36,4.726
,4.957
2025-09-01T10:06:42,5.185
2025-09-01T10:06:45,4.994
2025-09-01T10:06:48,4.832
2025-09-01T10:06:51,4.777
2025-09-01T10:06:57,5.071
2025-09-01T10:07:00,5.114
2025-09-01T10:07:03,4.711
2025-09-01T10:07:06,5.231
2025-09-01T10:07:09,4.743
2025-09-01T10:07:12,4.796
2025-09-01T10:07:15,4.884
2025-09-01T10:07:18,4.735
2025-09-01T10:07:21,5.089
2025-09-01T10:07:24,4.986
2025-09-01T10:07:27,4.727
2025-09-01T10:07:30,5.154
2025-09-01T10:07:33,4.857
,4.721
2025-09-01T10:07:39,4.808
2025-09-01T10:07:42,4.817
2025-09-01T10:07:45,5.254
2025-09-01T10:07:48,5.168
2025-09-01T10:07:51,5.095
2025-09-01T10:07:54,5.010
2025-09-01T10:07:57,4.979
2025-09-01T10:08:00,5.001
2025-09-01T10:08:06,4.736
2025-09-01T10:08:09,4.794
,4.840
2025-09-01T10:08:15,4.819
2025-09-01T10:08:18,4.849
2025-09-01T10:08:21,4.972
2025-09-01T10:08:24,5.255
2025-09-01T10:08:27,5.298
2025-09-01T10:08:30,4.857
,4.738
2025-09-01T10:08:36,5.138
2025-09-01T10:08:39,4.967
2025-09-01T10:08:42,5.119
2025-09-01T10:08:45,4.981
2025-09-01T10:08:48,4.820
2025-09-01T10:08:51,4.792
2025-09-01T10:08:54,5.267
2025-09-01T10:08:57,5.280
2025-09-01T10:09:00,4.997
2025-09-01T10:09:03,5.151
2025-09-01T10:09:06,5.018
2025-09-01T10:09:09,4.907
